sexe;preusuel;annais;nombre
2;RENÉ;1918;9
2;ZHORA;1961;3
1;PIETRO;2000;7
2;BÉRÉNICE;2020;159
2;VERONIKA;1942;3
1;WILFRIED;1942;5
1;IBRAHÎM;2019;4
1;AWEN;1997;4
1;JULIO;1932;4
2;SOMIA;1983;5
2;BRENDA;2006;60
1;HARRIS;1994;10
1;FRANCIS;1924;1356
2;CHRISTÈLE;1973;981
2;DÉSIRÉE;1927;6
1;SLIMANE;1971;75
2;ARIANE;1974;176
1;SAHIL;2006;3
2;ANNABELLA;2003;3
2;MAUDE;1999;152
1;PAUL-LOU;2008;4
2;MARYLENE;1980;220
2;SIDJY;1998;4
1;ISAIA;2007;14
2;LADISLAS;1954;4
1;JEAN-DAMIEN;1983;15
1;OLEG;1958;5
2;MIRABEL;2020;5
2;ALYSSA;2003;446
1;DJAMAL;1966;58
2;VANESSA;2002;332
2;TSIPORA;2020;11
2;AVRIL;2012;28
2;PHILIPPINE;1927;16
1;LUCIEN;1922;5639
1;CONRAD;1916;10
2;LOELIE;2009;25
2;EMELINE;1973;98
2;INÈS;2007;4772
2;CHIRAZE;1996;5
1;HILAL;2000;7
1;PAUL-HENRI;2013;10
2;ROXANE;1956;18
2;ANOUCHKA;1985;26
1;ORLANDO;2004;20
1;MAHER;2006;16
1;ABEL;1932;274
2;KHADIDJA;2013;70
1;CLEMENS;2007;5
2;JALIA;XXXX;5
2;RENÉE;1974;29
2;CRISTINA;2015;25
2;EVAELLE;2002;16
1;YVE;1928;3
1;JASMIN;1968;4
1;SANJEEV;XXXX;29
1;ACHREF;2004;4
1;STEFFEN;1996;4
2;MAYRA;2019;65
1;LIWAN;XXXX;13
1;YONIS;2015;14
1;ANNET;1916;5
2;AMELINE;1996;76
1;AMÎN;2013;9
2;LIZEA;2017;6
2;MARIE-PIA;2011;5
2;SUZANNE;1988;128
1;FRÉDÉRIK;1973;11
1;ESTHER;1908;3
1;DJIGUIBA;2018;3
2;NIHAL;2002;10
2;MEG;2012;5
1;ELOWAN;2020;8
1;AIMÉ;1922;14
1;GHILAS;2004;4
2;KATRINA;2007;7
2;HILDA;2018;5
2;KELSEY;2008;6
1;OÏHAN;2014;5
2;GRACIANNE;1920;10
1;EMERSON;1981;10
1;DIDIER;1914;63
2;ODILIA;1915;3
1;HERLAND;XXXX;41
1;MATTHIEU;1964;49
2;CLARA;1941;9
2;HAJJAR;2010;7
1;RICHEMONT;1952;6
2;JEANNA;1997;3
1;ZINDINE;1961;5
2;MALIYA;2012;3
2;FLEURESTINE;1904;3
2;PHUONG;1982;4
2;IMELDA;XXXX;39
2;ABIR;1991;24
2;IMÈNE;1992;16
1;ALDRIC;1994;27
2;MALORY;1983;37
1;DJILLALI;2020;3
2;JACINTHE;1997;5
1;OZIAS;2016;3
2;ANNE-LISE;2004;76
2;JOSEE;1957;91
1;MESMIN;1907;5
2;_PRENOMS_RARES;2003;16652
2;KATARINA;1983;9
1;ALEXIS;1921;395
2;CHARLYNE;1946;7
1;TÉLIO;2016;97
1;RÉGINALD;1965;3
2;JOSÈPHE;1918;3
1;BRYAN;2011;351
1;ALIX;1928;28
1;GONZAGUE;2015;8
2;FRANCINE;1969;530
2;NANCY;1994;177
1;FRANKY;1982;18
1;MICHAËL;1997;113
2;ZOUBIDA;1985;14
2;HAYFA;XXXX;34
2;YANNA;1987;5
1;CHRISTOPH;1968;9
1;ADLENE;2014;6
1;LUDGER;1920;5
2;ANNIE-CLAUDE;1957;41
2;MARIE-CAROLINE;1963;49
2;ROSEMARY;1963;6
2;SEBASTIENNE;1963;4
1;HERLAND;1967;5
2;HOLLY;2017;14
2;NAJAT;1985;94
1;KADDA;1973;4
1;NAWAL;2007;4
1;ENRIQUE;1931;4
1;SAMORY;XXXX;42
2;TYLIANA;2011;3
2;ANALIA;2012;17
2;MENEKSE;2008;3
1;MAHFOUD;1986;7
2;ANNE-LAURIE;XXXX;37
1;DAYANE;2018;5
2;LILANDRA;2006;4
1;IBRAHIMA;2014;106
2;ADA;1968;4
1;CÉLYO;2018;3
2;BIBI;1991;15
2;ARYAM;2012;3
1;JEAN-STÉPHANE;1981;9
2;VINCENT;1900;3
2;EMYLIA;2017;16
1;SABAR;XXXX;46
1;ENRIC;1996;4
2;MARIE-CAROLINE;1977;72
2;LATIFA;1977;151
2;RAMONA;1998;5
1;TIMOLEON;1964;3
2;AYNUR;1984;9
2;SILAN;1995;3
1;TIARY;2012;4
1;YAHYA;1986;19
2;ANNAÏK;1988;4
1;ASHLEY;2011;5
2;SIANE;2020;4
2;AMELE;1982;17
2;NINA-LOU;2008;5
1;GEORGES-HENRI;1980;3
1;SHAD;2008;6
1;RUDOLPH;1976;14
2;CHRISTINE;1923;101
2;CAROL;1966;133
2;KAHINA;2001;94
2;NOR;2016;3
2;KENZA;2014;715
2;TONYA;2009;5
2;KEILYA;2019;4
1;OLLIVIER;XXXX;31
1;FRANÇOIS;1920;4726
1;TARIK;2006;48
1;AMILCAR;1926;3
2;NEVAEH;2006;5
2;AUREA;2004;19
1;KAREL;1931;3
2;CHARLOTTE;1915;869
1;JOACHIN;1900;12
1;WIELFRIED;1984;3
1;GUI;1915;4
1;ALYX;2019;4
1;AMADI;2012;4
1;HONORE;1906;212
1;BELAID;1952;5
1;SHAI;2014;4
2;NAELLA;2009;27
2;CYRIANE;1999;21
1;LEE;1999;4
1;FRANTZ;1964;169
1;HOWARD;1999;7
2;FLORIE;1986;237
2;MAUD;1992;802
2;CASIMIR;1941;3
2;BINETA;2003;6
1;CARLOS;1976;456
2;DANYELE;1921;8
1;BYLEL;1988;5
1;KENTIN;1996;27
2;AURE;1976;4
1;MAREK;1995;5
1;SAMBA;XXXX;13
1;CHRISTOPH;1964;5
2;EUGÉNIE;1958;69
1;ENNIO;2000;7
1;MILO;2006;290
2;ANNE-LUCE;1982;3
2;SALIMATOU;1997;3
2;YVELYSE;1958;3
1;SEVERIN;1941;14
1;YANNIC;1959;13
1;SAMED;1995;6
1;DANTE;2008;21
2;FLAVIENNE;1948;6
1;ABEL;1947;120
2;DALIDA;1967;49
2;NICOLETTE;1927;17
2;NOELA;2011;6
2;AZILYS;2003;8
2;SENDA;2003;3
2;ROBERTINE;1928;18
1;EGON;1942;14
1;JAHID;1975;3
1;DJIVAN;2004;4
2;JEANIE;1950;4
2;ANNE-CAROLINE;1987;14
2;LYDA;1925;4
2;RAPHAELE;1957;18
1;ZENON;1948;4
1;ADALBERT;1905;7
2;CHAHINEZ;1994;24
1;ULYSSE;1928;46
2;MAGUELONNE;2017;5
2;JANIG;1969;6
1;DEVRAN;2012;25
1;CURT;1903;5
2;LAURENCINE;1921;4
1;SANDY;2002;10
1;CLIFF;2009;4
1;MACÉO;2015;63
1;AUREL;1914;4
1;ZACHARY;1992;20
2;MARIE-CLOTHILDE;1989;5
2;MARIE-JOSEPHE;1917;30
1;CARLO;1958;35
1;SOCRATE;1937;10
2;NINNOG;2007;6
1;BERTRAND;1938;164
2;ASMAE;1973;3
1;DEAN;2002;12
1;DELPHIN;1990;7
1;PLACIDO;1959;3
1;STEFAN;2012;34
1;ALEKSANDR;2006;3
2;BEJNA;2012;6
2;JOSEFINE;XXXX;31
2;YANNICKE;1962;3
1;NAIM;1971;4
2;GAMRA;XXXX;29
2;MARIA-JOSÉ;1955;3
1;RAOUF;1962;3
1;FAISAL;1987;16
1;GIULIANN;2011;11
1;GONZAGUE;1990;16
2;CÉLIA;1956;7
1;ABDEL-HALIM;1993;4
2;ALIENOR;2000;126
1;ARMANI;2011;3
1;JANEK;2004;3
1;FLORESTAN;1977;5
1;ZOUBIR;1967;14
2;KAZIMIERA;1930;8
2;SEBASTIENNE;1911;22
1;SANJIVAN;2015;4
1;TINO;2019;218
1;FAHD;1992;13
2;THAIS;1993;47
2;MARI;2018;4
2;LI;2009;7
2;DINA;1979;25
2;GISÈLE;1976;100
2;PIERINA;1962;3
1;EREN;2016;60
2;SHEYNA;2009;15
1;CHARLES-ALEXANDRE;1988;6
2;THALIE;2013;25
2;EUDOXIE;1987;6
1;ZAFER;2006;3
1;LAURENT;2014;59
1;ARCHANGE;1906;5
1;PAOLINO;1932;3
1;BOGDAN;1938;7
2;YVANNE;1956;3
2;ELYANA;2013;76
1;MICHAËL;1987;319
2;ANAYS;2010;7
2;MAGDALENA;2010;37
1;MUHARREM;1990;3
2;MARIE-JOSEPHINE;1967;13
1;PATRICE;1956;4987
2;EVELINA;XXXX;51
1;KHELIFA;1973;7
2;BIANCA;2004;41
2;SEVAL;1987;5
1;MESSALI;1954;3
2;MICHAELA;1966;7
1;AFONSO;2017;21
2;LUCIANNA;2002;4
1;AINSLEY;2004;3
1;GOULWEN;1987;4
1;RITHY;1984;4
1;MOUEZ;1986;4
2;EDÈNE;XXXX;2
1;LAURICK;2010;8
1;ALEXY;2004;225
